Год,Город,Тип,Население,Лемана Про
2025,Владимирская область,область,1297936,
2025,Владимир,город,341579,
2025,Вологодская область,область,1115371,
2025,Вологда,город,311476,
2025,Череповец,город,298160,1
2025,Воронежская область,область,2260045,
2025,Воронеж,город,1041722,1
2025,Ивановская область,область,898490,
2025,Иваново,город,404598,1
2025,Костромская область,область,560825,
2025,Кострома,город,264952,1
2025,Ярославская область,область,1180174,
2025,Ярославль,город,563700,2
2025,Рыбинск,город,169579,
2025,Тамбовская область,область,946657,
2025,Тамбов,город,291454,
