Год,Локация,Тип,Население,Лемана Про,Status,lat,lon
2025.0,Владимир,город,341579,,Target,56.1288899,40.4075203
2025.0,Вологда,город,311476,,Target,59.2189391,39.8933913
2025.0,Череповец,город,298160,1,Target,59.1221553,37.9025005
2025.0,Воронеж,город,1041722,1,Target,51.6605982,39.2005858
2025.0,Иваново,город,404598,1,Target,56.9956855,40.9812104
2025.0,Кострома,город,264952,1,Target,57.7679158,40.9269141
2025.0,Ярославль,город,563700,2,Target,57.6263877,39.8933705
2025.0,Рыбинск,город,169579,,Target,58.0489536,38.8558908
2025.0,Тамбов,город,291454,,Target,52.7216164,41.4523988
,Москва,,100000,,Neutral,55.625578,37.6063916
,Ярославль,,100000,,Neutral,57.6263877,39.8933705
,Тверь,,100000,,Neutral,56.858675,35.9208284
,Калуга,,100000,,Neutral,54.5101087,36.2598115
,Тула,,100000,,Neutral,54.1930321,37.61754
,Рязань,,100000,,Neutral,54.6295687,39.7425039
,Нижний Новгород,,100000,,Neutral,56.3264816,44.0051395
,Липецк,,100000,,Neutral,52.6051488,39.5963775
,Орел,,100000,,Neutral,52.9680171,36.0994994
,Курск,,100000,,Neutral,51.7309249,36.1923123
,Тамбов,,100000,,Neutral,52.7216164,41.4523988
,Брянск,,100000,,Neutral,53.2423778,34.3668288
,Смоленск,,100000,,Neutral,54.7789701,32.0471812
